,cluster_id,item_id,medium,title,url,primary_hue,avg_hue,hue_var,primary_sat,avg_sat,sat_var,primary_val,avg_val,val_var,symmetry,bluriness,aspect_ratio,retail_price,area,width,height
15,2,15,encaustic,Koi,https://res.cloudinary.com/drizlalpha/image/upload/w_400/rc-cola/art/b2wqzmwqyt774wwkfkxr.jpg,3.0,0.0707911142805,0.00282086872689,16.0,0.579798437222,0.0230824716016,6.0,0.352132647595,0.0474005369398,0.0249268483482,0.00160585614511,1.6393442623,5500.0,2400.0,60.0,40.0
16,0,16,mixed media,B,https://res.cloudinary.com/drizlalpha/image/upload/w_400/stehanie/art/eowwiljs1prd4djlaq1d.jpg,4.0,0.254632880094,0.111791812245,4.0,0.198035180342,0.0371705662042,31.0,0.815750118405,0.0357175228754,0.0256324458243,0.0091805437263,1.44927536232,3000.0,2160.0,60.0,36.0
17,4,17,,Cape Cod,https://res.cloudinary.com/drizlalpha/image/upload/w_400/ricardoduque11/art/pt6vbk8h7kzifsxyxnqv.jpg,4.0,0.335099775458,0.0448628847448,5.0,0.301187878653,0.0480280237965,2.0,0.466691055841,0.0813564100784,0.0639753719744,0.00647252920025,0.993333333333,1100.0,1296.0,36.0,36.0
18,1,18,oil paint,Manzanita Stripe no.2,https://res.cloudinary.com/drizlalpha/image/upload/w_400/sdemarest/art/lxhewqkmmrpza13rfezl.jpg,28.0,0.49439252696,0.0450575965868,5.0,0.176121214553,0.00917603137228,25.0,0.692178356801,0.01426447603,0.0233443786068,0.00995705207207,2.01342281879,575.0,215.25,20.5,10.5
19,4,19,oil,Creek From the Bridge,https://res.cloudinary.com/drizlalpha/image/upload/w_400/bborcher/art/nudgvvu13az5i1cvzoyl.jpg,28.0,0.494314549541,0.0863275431457,6.0,0.230850928875,0.0138712384454,26.0,0.594933042847,0.0525070006145,0.0321756157908,0.0229934326632,1.33333333333,850.0,432.0,24.0,18.0
20,0,20,oil & cold wax,Untitled No. ,https://res.cloudinary.com/drizlalpha/image/upload/w_400/jeremyprim/art/fymmaenl9du9tonjnihv.jpg,25.0,0.548163884637,0.0111906163832,3.0,0.222538334313,0.0257573759596,28.0,0.626499083873,0.0761470215488,0.0105122298247,0.0239606518876,1.25523012552,3250.0,2880.0,60.0,48.0
21,2,21,encaustic,Girl with Kangeroo,https://res.cloudinary.com/drizlalpha/image/upload/w_400/penelope35/art/wbjmymbdkuu10mtbracf.jpg,1.0,0.242958802662,0.0558012268819,23.0,0.542187716635,0.0742458085486,21.0,0.497029258236,0.039143801415,0.0245195257512,0.012719751555,0.993333333333,395.0,400.0,20.0,20.0
22,1,22,,None,https://res.cloudinary.com/drizlalpha/image/upload/w_400/serene/art/vym0e1c0rkgms0aq2nnk.jpg,8.0,0.471266555331,0.0879416525008,0.0,0.264291812139,0.0557495769006,28.0,0.801461133142,0.0312829092317,0.0502538205781,0.0810900702724,1.34831460674,0.0,0.0,0.0,0.0
23,3,23,,None,https://res.cloudinary.com/drizlalpha/image/upload/w_400/johnosgood/art/exxpvzkarltazk2feyfz.jpg,0.0,0.491770762802,0.105624113542,31.0,0.433314011854,0.104667900005,0.0,0.413952953224,0.084797418925,0.0648890449195,0.0691111736196,0.723333333333,0.0,0.0,0.0,0.0
24,0,24,oil & cold wax,Untitled No .273,https://res.cloudinary.com/drizlalpha/image/upload/w_400/jeremyprim/art/j38qyuqjxontvbxokstc.jpg,21.0,0.4363322898,0.0122924872871,0.0,0.0835634339317,0.0222184305869,27.0,0.776690924244,0.0377860122254,0.0134680407115,0.00627888710421,0.993333333333,2500.0,2304.0,48.0,48.0
